เดือน,KWH,KWATT,KVAR,PF,MJ,จำนวนวันทำงาน,FT,ค่าบริการ,ค่า FT,จำนวนเงิน,บาท/kWH,น้ำหนักวัตถุดิบผลิต(ตัน),จำนวนผลิตขั้นตอนแรก(ชิ้น),ชิ้น/ตัน,kwh/ton
มกราคม 2567,"60,000.00",334,96,,"216,000.00",26,"23,832.000",312.24,0.40,"298,017.56",4.97,368.400,"2,095,827.00","5,689.00",162.87
กุมภาพันธ์ 2567,"64,000.00",355,98,,"230,400.00",25,"25,420.801",312.24,0.40,"315,565.03",4.93,253.138,"2,005,352.00","7,921.97",252.83
มีนาคม 2567,"72,000.00",382,102,,"259,200.00",26,"28,598.400",312.24,0.40,"353,606.31",4.91,360.670,"2,396,319.00","6,644.08",199.63
เมษายน 2567,"49,000.00",374,100,,"176,400.00",22,"19,462.801",312.24,0.40,"264,701.09",5.40,251.800,"1,328,914.00","5,277.66",194.60
พฤษภาคม 2567,"58,000.00",377,99,,"208,800.00",26,"23,037.600",312.24,0.40,"299,462.69",5.16,217.387,"2,090,803.00","9,617.89",266.81
มิถุนายน 2567,"59,000.00",387,99,,"212,400.00",24,"23,434.801",312.24,0.40,"305,355.09",5.18,197.740,"2,249,561.00","11,376.36",298.37
กรกฎาคม 2567,"53,000.00",386,109,,"190,800.00",26,"21,051.600",312.24,0.40,"282,390.66",5.33,246.350,"2,346,026.00","9,523.14",215.14
สิงหาคม 2567,"61,000.00",353,99,,"219,600.00",26,"24,229.199",312.24,0.40,"305,799.91",5.01,257.680,"2,428,483.00","9,424.41",236.73
กันยายน 2567,"67,000.00",375,106,,"241,200.00",25,"26,612.400",312.24,0.40,"333,174.31",4.97,276.280,"2,845,351.00","10,298.79",242.51
ตุลาคม 2567,,,,,,,0.000,0.00,0.00,,0.00,,0.00,0.00,
พฤศจิกายน 2567,,,,,,,0.000,0.00,0.00,,0.00,,0.00,0.00,
ธันวาคม 2567,,,,,,,0.000,0.00,0.00,,0.00,,0.00,0.00,
รวม:,"543,000","3,323",908,,"1,954,800",226,,,3.57,"2,758,072.66",5.08,"2,429","19,786,636","8,145",223.51
