เดือน,ปริมาณการซื้อ(กก.),จำนวนเงิน(บาท),บาท/กก.,ปริมาณการใช้(กก.),MJ,จำนวนชิ้นงานพ่นสี(ชิ้น),น้ำหนักชิ้นงานพ่นสี(ตัน),LPG(กก.)/ton
มกราคม 2567,0.00,0.00,0.00,424.33,"21,314.10","18,775.00",10.55,40.22
กุมภาพันธ์ 2567,0.00,0.00,0.00,"1,106.87","55,598.08","6,292.00",12.65,87.50
มีนาคม 2567,"3,230.00","76,108.49",23.56,819.97,"41,187.09","4,558.00",15.81,51.86
เมษายน 2567,0.00,0.00,0.00,"1,152.14","57,871.99","2,568.00",9.49,121.41
พฤษภาคม 2567,0.00,0.00,0.00,"1,145.67","57,547.00","3,801.00",11.58,98.94
มิถุนายน 2567,0.00,0.00,0.00,"1,084.50","54,474.43","5,720.00",24.02,45.15
กรกฎาคม 2567,"3,220.00","75,872.86",23.56,"1,037.68","52,122.67","7,078.00",24.77,41.89
สิงหาคม 2567,0.00,0.00,0.00,"1,291.21","64,857.48","8,059.00",25.73,50.18
กันยายน 2567,"3,200.00","75,401.60",23.56,"2,027.03","101,817.70","20,575.00",26.54,76.38
ตุลาคม 2567,,,0.00,,,,,
พฤศจิกายน 2567,,,0.00,,,,,
ธันวาคม 2567,,,0.00,,,,,
รวม:,"9,650","227,382.95",23.56,"10,089.40","506,790.54","77,426",161.14,62.61
