uniqueid,yr,kpi_id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
202420,2024,20,35.762753146783616,35.56447038279818,,,,,,402.0628841428158,,,,
202421,2024,21,67.7324870204235,243.83890006206,271.0363835462749,383.1501886885817,46.71096423107914,302.56285317985663,32.217282238945586,25.128930258925987,289.6202633551874,,,
202422,2024,22,713.6294832471821,2597.095449703837,151.6253584450117,1124.0217643052474,,1024.6430760799763,523.2531011911507,909.1646967679421,2013.0520320212536,,,
202423,2024,23,,,,,,,,,,,,
202424,2024,24,74.23480577438417,1354.784043644718,,549.8119299567092,,211.73324163289163,17029.05554481646,,,,,
202425,2024,25,,76.90816720280105,,,223.41362497364824,7294.01271857584,,12665.483429103873,1674.121855864106,,,
202426,2024,26,0.0,0.0,,,,,,1787.4208093174052,2247.9282289187545,,,
202427,2024,27,,,945.1152534383957,11411.690238707723,910.2491845556342,3852.8159306025314,,,,,,
202428,2024,28,,,,,,,,,,,,
202429,2024,29,42.53600184882596,13.781232273334293,369.37487480613873,38.48683509696964,45.78903730546573,53.16114388200292,21.9410801454888,29.90342700812192,14.491076415269971,,,
202430,2024,30,,,,,,,,,,,,
202431,2024,31,,,,,,,,,,,,
