activityid,yr,desc,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,id,update_date,create_date
20241,2024,การ Set Up เครื่อง/แม่พิมพ์ (MH),3,4.3,15.1,9.1,3,5.1,5.3,18.2,NULL,NULL,NULL,NULL,1,2024-09-18 10:47:29.340,2024-09-18 10:44:10.600
20242,2024,จากเครื่องจักรเสีย (MH),18.4,22.2,29.55,17.1,12.1,39.4,13.4,15.55,NULL,NULL,NULL,NULL,2,2024-09-18 10:47:29.343,2024-09-18 10:44:10.603
20243,2024,จากแม่พิมพ์เสีย (MH),34.35,95.15,118.2,70.2,97.01,126.1,23.55,71.5,NULL,NULL,NULL,NULL,3,2024-09-18 10:47:29.347,2024-09-18 10:44:10.607
20244,2024,จากการรอวัสดุ/อุปกรณ์ (MH),4,3.3,NULL,1,23.1,9.3,2,NULL,NULL,NULL,NULL,NULL,4,2024-09-18 10:47:29.350,2024-09-18 10:44:10.613
20245,2024,จากการไปผลิต/ทำงานอื่น (MH),NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,2024-09-18 10:47:29.353,2024-09-18 10:44:10.617
20246,2024,อื่น ๆ (MH) (ที่นอกเหนือหัวข้อข้างต้น),3,10.4,4,NULL,34.3,52.3,5,2.3,NULL,NULL,NULL,NULL,6,2024-09-18 10:47:29.357,2024-09-18 10:44:10.620
20247,2024,MH ผลิตจริง (เฉพาะทีปิด),22076,21889,21805,16267,15968,14864,16832,16467,NULL,NULL,NULL,NULL,7,2024-09-18 10:47:29.360,2024-09-18 10:44:10.623
202417,2024,เวลาสูญเสียจากการผลิต ต้องไม่เกิน,0.270655915926798,0.598702544657134,0.695941297867462,0.542816745558493,1.04277304609218,1.52785252960172,0.261109790874525,0.542600352219591,NULL,NULL,NULL,NULL,17,2024-09-18 10:47:29.363,2024-09-18 10:44:10.630
202418,2024,% ซ่อมสี:,0.77,25.22,3.14,5.96,3.74,2.45,1.22,1.66,0,0,0,0,18,2024-09-18 10:47:29.367,2024-09-18 10:44:10.630
202420,2024,สาเหตุจากพนักงาน(ชิ้น),35.7627531467836,35.5644703827982,NULL,NULL,NULL,NULL,NULL,402.062884142816,NULL,NULL,NULL,NULL,20,2024-09-18 10:47:29.370,2024-09-18 10:44:10.637
202421,2024,สาเหตุจากวัตถุดิบ(ชิ้น),67.7324870204235,243.83890006206,271.036383546275,383.150188688582,46.7109642310791,302.562853179857,32.2172822389456,25.128930258926,NULL,NULL,NULL,NULL,21,2024-09-18 10:47:29.373,2024-09-18 10:44:10.640
202422,2024,วัตถุดิบเฉพาะ Dis 442/Com054 (ชิ้น),713.629483247182,2597.09544970384,151.625358445012,1124.02176430525,NULL,1024.64307607998,523.253101191151,909.164696767942,NULL,NULL,NULL,NULL,22,2024-09-18 10:47:29.377,2024-09-18 10:44:10.643
202423,2024,สาเหตุจากเครื่องจักร(ชิ้น),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,2024-09-18 10:47:29.380,2024-09-18 10:44:10.647
202424,2024,สาเหตุจากวิธีการ/ควบคุม(ชิ้น),74.2348057743842,1354.78404364472,NULL,549.811929956709,NULL,211.733241632892,17029.0555448165,NULL,NULL,NULL,NULL,NULL,24,2024-09-18 10:47:29.383,2024-09-18 10:44:10.650
202425,2024,สาเหตุจากแม่พิมพ์ (ชิ้น),NULL,76.9081672028011,NULL,NULL,223.413624973648,7294.01271857584,NULL,12665.4834291039,NULL,NULL,NULL,NULL,25,2024-09-18 10:47:29.387,2024-09-18 10:44:10.653
202426,2024,"แม่พิมพ์เฉพาะ (Dis 177,258/Com054) (ชิ้น)",0,0,NULL,NULL,NULL,NULL,NULL,1787.42080931741,NULL,NULL,NULL,NULL,26,2024-09-18 10:47:29.390,2024-09-18 10:44:10.657
202427,2024,สาเหตุจากงานจ้างผลิตภายนอก (ชิ้น),NULL,NULL,945.115253438396,11411.6902387077,910.249184555634,3852.81593060253,NULL,NULL,NULL,NULL,NULL,NULL,27,2024-09-18 10:47:29.390,2024-09-18 10:44:10.657
202428,2024,สาเหตุจากการออกแบบ (ชิ้น),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2024-09-18 10:47:29.393,2024-09-18 10:44:10.660
202429,2024,สาเหตุจากการซ่อมสี,42.536001848826,13.7812322733343,369.374874806139,38.4868350969696,45.7890373054657,53.1611438820029,21.9410801454888,29.9034270081219,NULL,NULL,NULL,NULL,29,2024-09-18 10:47:29.400,2024-09-18 10:44:10.667
202430,2024,สาเหตุจากคำสั่งพิเศษ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,2024-09-18 10:47:29.400,2024-09-18 10:44:10.670
202431,2024,สาเหตุจากข้อร้องเรียนลูกค้า,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,2024-09-18 10:47:29.403,2024-09-18 10:44:10.673
202499,2024,ยอดผลิตรวม(ชิ้น),3690991,4498872,4128597,2910086,3254054,3291878,3600552,3979477,NULL,NULL,NULL,NULL,99,2024-09-18 10:47:29.407,2024-09-18 10:44:10.677
2024100,2024,จำนวนพ่นสีทั้งหมด,18775,6292,4558,2568,3801,5720,7078,8059,NULL,NULL,NULL,NULL,100,2024-09-18 10:47:29.410,2024-09-18 10:44:10.680
2024101,2024,จำนวนงานซ่อมสี,145,1587,143,153,142,140,86,134,NULL,NULL,NULL,NULL,101,2024-09-18 10:47:29.413,2024-09-18 10:44:10.683
