yr,desc,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,uniqueid
2024,สาเหตุจากพนักงาน(ชิ้น),132,160,,,,,,,,,,,2024_สาเหตุจากพนักงาน(ชิ้น)
2024,สาเหตุจากวัตถุดิบ(ชิ้น),250,"1,097","1,119","1,115",152,996,116,,,,,,2024_สาเหตุจากวัตถุดิบ(ชิ้น)
2024,สาเหตุจากเครื่องจักร(ชิ้น),,,,,,,,,,,,,2024_สาเหตุจากเครื่องจักร(ชิ้น)
2024,สาเหตุจากวิธีการ/ควบคุม(ชิ้น),274,"6,095",,"1,600",,697,"61,314",,,,,,2024_สาเหตุจากวิธีการ/ควบคุม(ชิ้น)
2024,สาเหตุจากแม่พิมพ์ (ชิ้น),,346,,,727,"24,011",,,,,,,2024_สาเหตุจากแม่พิมพ์ (ชิ้น)
2024,สาเหตุจากงานจ้างผลิตภายนอก (ชิ้น),,,"3,902","33,209","2,962","12,683",,,,,,,2024_สาเหตุจากงานจ้างผลิตภายนอก (ชิ้น)
2024,สาเหตุจากการออกแบบ (ชิ้น),,,,,,,,,,,,,2024_สาเหตุจากการออกแบบ (ชิ้น)
2024,สาเหตุจากการซ่อมสี,157,62,"1,525",112,149,175,79,,,,,,2024_สาเหตุจากการซ่อมสี
2024,สาเหตุจากข้อร้องเรียนลูกค้า,,,,,,,,,,,,,2024_สาเหตุจากข้อร้องเรียนลูกค้า
2024,สาเหตุจากคำสั่งพิเศษ,,,,,,,,,,,,,2024_สาเหตุจากคำสั่งพิเศษ
2024,วัตถุดิบเฉพาะ Dis 442/Com054 (ชิ้น),"2,634","11,684",626,"3,271",,"3,373","1,884",,,,,,2024_วัตถุดิบเฉพาะ Dis 442/Com054 (ชิ้น)
2024,"แม่พิมพ์เฉพาะ (Dis 177,258/Com054) (ชิ้น)",0,0,,,,,,,,,,,"2024_แม่พิมพ์เฉพาะ (Dis 177,258/Com054) (ชิ้น)"
2024,ยอดผลิตรวม(ชิ้น),"3,690,991","4,498,872","4,128,597","2,910,086","3,254,054","3,291,878","3,600,552",,,,,,2024_ยอดผลิตรวม(ชิ้น)
2024,การ Set Up เครื่อง/แม่พิมพ์ (MH),3.00,4.30,15.10,9.10,3.00,5.10,5.30,,,,,,2024_การ Set Up เครื่อง/แม่พิมพ์ (MH)
2024,จากเครื่องจักรเสีย (MH),18.40,22.20,29.55,17.10,12.10,39.40,13.40,,,,,,2024_จากเครื่องจักรเสีย (MH)
2024,จากแม่พิมพ์เสีย (MH),34.35,95.15,118.20,70.20,97.01,126.10,23.55,,,,,,2024_จากแม่พิมพ์เสีย (MH)
2024,จากการรอวัสดุ/อุปกรณ์ (MH),4.00,3.30,,1.00,23.10,9.30,2.00,,,,,,2024_จากการรอวัสดุ/อุปกรณ์ (MH)
2024,จากการไปผลิต/ทำงานอื่น (MH),,,,,0.00,,,,,,,,2024_จากการไปผลิต/ทำงานอื่น (MH)
2024,อื่น ๆ (MH) (ที่นอกเหนือหัวข้อข้างต้น),3.00,10.40,4.00,,34.30,52.30,5.00,,,,,,2024_อื่น ๆ (MH) (ที่นอกเหนือหัวข้อข้างต้น)
2024,MH ผลิตจริง (เฉพาะทีปิด),"22,076.00","21,889.00","21,805.00","16,267.00","15,968.00","14,864.00","16,832.00",,,,,,2024_MH ผลิตจริง (เฉพาะทีปิด)
2024,จำนวนพ่นสีทั้งหมด,"18,775","6,292","4,558","2,568","3,801","5,720","7,078",,,,,,2024_จำนวนพ่นสีทั้งหมด
2024,จำนวนงานซ่อมสี,145,"1,587",143,153,142,140,86,,,,,,2024_จำนวนงานซ่อมสี
2024,% ซ่อมสี:,0.77,25.22,3.14,5.96,3.74,2.45,1.22,0.0,0.0,0.0,0.0,0.0,2024_% ซ่อมสี:
