เดือน,บ่อ1 LPG(กก.),บ่อ1 (บาท),บ่อ2 LPG(กก.),บ่อ2 (บาท),ตู้อบแห้ง LPG(กก.),ตู้อบแห้ง (บาท),ตู้อบสี LPG(กก.),ตู้อบสี (บาท),ต้ม LPG(กก.),ยอดรวมการใช้ LPG(กก.),ค่า LPG (บาท)
มกราคม 2567,136.88,,94.21,,66.68,,126.56,,0.00,424.33,
กุมภาพันธ์ 2567,393.58,,237.49,,163.89,,311.91,,0.00,"1,106.87",
มีนาคม 2567,276.51,,152.10,,131.51,,259.85,,0.00,819.97,
เมษายน 2567,236.43,,108.96,,602.32,,204.43,,0.00,"1,152.14",
พฤษภาคม 2567,414.82,,186.98,,190.97,,352.90,,0.00,"1,145.67",
มิถุนายน 2567,378.82,,186.46,,180.56,,338.66,,0.00,"1,084.50",
กรกฎาคม 2567,339.18,,184.73,,184.91,,328.86,,0.00,"1,037.68",
สิงหาคม 2567,445.06,,233.53,,219.60,,393.02,,0.00,"1,291.21",
กันยายน 2567,774.39,,369.03,,307.81,,575.80,,0.00,"2,027.03",
ตุลาคม 2567,,,,,,,,,,0.00,
พฤศจิกายน 2567,,,,,,,,,,0.00,
ธันวาคม 2567,,,,,,,,,,0.00,
รวม:,"3,395.67",0.00,"1,753.49",0.00,"2,048.25",0.00,"2,891.99",0.00,"10,089.40",0.00,
