,CAR No.,วันที่เอกสาร,ลูกค้า,ผลิตภัณฑ์,ชิ้นงาน,RD part,จำนวนแจ้ง/ตรวจ,พบปัญหา,Reject,แก้ไขได้,เสีย,ค่าใช้จ่าย,สถานะการแก้ไข,สถานะเอกสาร,LotRej,NoKPI,กำหนดตอบ,ตอบแล้ว
0,CCRP67/014,2024-08-15,ALINCO,RAC0002,Round RT 6X10.5 SUS,89008,59,0,59,0,59,0.0,ปิด,เปิด,,,15/08/2024,
1,CCRP67/013,2024-08-15,ALINCO,PCD0019,New OCT Anti-shake XX,89025,4,0,4,0,4,0.0,เปิด,เปิด,,,15/08/2024,
2,CCRP67/012,2024-08-05,ALINCO,PCD0012,New wedge's Wedge S type & up-side rivet,89017,0,0,0,0,0,0.0,ปิด,เปิด,,,05/08/2024,
3,CCRP67/011,2024-07-25,ALINCO,PCE0002,Brace's edge part Metal fixture XXK,89042,6,0,0,0,6,0.0,ปิด,เปิด,,,25/07/2024,
4,CCRP67/010,2024-07-11,ALINCO,PCD0027,New OCT Small C-shaped Metal XX (V2),89083,"6,000",0,9,9,0,0.0,ปิด,เปิด,,,11/07/2024,
5,CCRP67/009,2024-06-24,ALINCO,HLN0007,A Checker plate 3m A type (no rivet hole),89097,0,2,0,0,2,0.0,ปิด,เปิด,,,26/06/2024,
6,CCRP67/007,2024-05-06,DAIKIN COMPRESSOR,3PD04918-1,LOWER FRONT MUFFLER (RoHS),7036,0,17,17,0,0,0.0,เปิด,ยกเลิก,,,13/05/2024,
7,CCRP67/006,2024-04-02,ALINCO,PCD0014,New OCT System joint (จ้างทำของ),89023,"6,000",0,1,0,1,0.0,ปิด,ปิด,,,02/04/2024,
8,CCRP67/004,2024-03-14,B-HOLDING,TM-BS-1200600-B,BRACKET SUPPORT SHELF BACK STOCK D600,27868,2,0,2,0,2,0.0,ปิด,ปิด,,,20/03/2024,
9,CCRP67/005,2024-03-12,IWATANI,DBR-37,BRACKET FOR YX0 FR LH (RoHS),37002,"3,902",13,13,0,0,0.0,ปิด,ปิด,,,18/03/2024,
10,CCRP67/003,2024-02-14,DAIKIN COMPRESSOR,3PD05285-1,REAR MUFFLER (RoHS),7032,"6,000","6,000",6000,"6,000",0,0.0,ปิด,ปิด,,,20/02/2024,
11,CCRP67/002,2024-01-25,ALINCO,PCA0001,OCT C-shaped wedge set,89019,4,4,4339,"4,339",0,0.0,ปิด,ปิด,,,29/01/2024,
12,CCRP67/001,2024-01-05,ALINCO,PCD0012,New wedge's Wedge S type & up-side rivet,89017,0,0,54,0,0,0.0,เปิด,ปิด,,,09/01/2024,
