uniqueid,yr,kpi_id,activities,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
202420,2024,20,สาเหตุจากพนักงาน(ชิ้น),35.762753146783616,43.34879169307105,,,,,,,,,,
202421,2024,21,สาเหตุจากวัตถุดิบ(ชิ้น),67.7324870204235,297.21015304561837,303.17061190341565,302.08689211108884,41.18135210841749,269.8462282893673,31.42787397747651,,,,,
202423,2024,23,สาเหตุจากเครื่องจักร(ชิ้น),,,,,,,,,,,,
202424,2024,24,สาเหตุจากวิธีการ/ควบคุม(ชิ้น),74.23480577438417,1651.3180335579252,,433.48791693071047,,188.83817381294074,16611.798836680988,,,,,
202425,2024,25,สาเหตุจากแม่พิมพ์ (ชิ้น),,93.74176203626614,,,196.96607225539157,6505.298983389555,,,,,,
202427,2024,27,สาเหตุจากงานจ้างผลิตภายนอก (ชิ้น),,,1057.1686574147702,8997.312645844977,802.4945062179778,3436.204531520126,,,,,,
202428,2024,28,สาเหตุจากการออกแบบ (ชิ้น),,,,,,,,,,,,
202429,2024,29,สาเหตุจากการซ่อมสี,42.53600184882597,16.79765678106503,413.1681708245834,30.344154185149733,40.36856226417241,47.41274091429646,21.40346589845383,,,,,
202431,2024,31,สาเหตุจากข้อร้องเรียนลูกค้า,,,,,,,,,,,,
202430,2024,30,สาเหตุจากคำสั่งพิเศษ,,,,,,,,,,,,
202422,2024,22,วัตถุดิบเฉพาะ Dis 442/Com054 (ชิ้น),713.6294832471822,3165.5455133865134,169.60214749914047,886.2118601752212,,913.846714879554,510.4320221859116,,,,,
202426,2024,26,"แม่พิมพ์เฉพาะ (Dis 177,258/Com054) (ชิ้น)",0.0,0.0,,,,,,,,,,
202499,2024,99,ยอดผลิตรวม(ชิ้น),3690991.0,4498872.0,4128597.0,2910086.0,3254054.0,3291878.0,3600552.0,,,,,
